group,variable,value,,,
Paulding,12/21,15,,,
Paulding,12/22,9,,,
Paulding,12/23,10,,,
Paulding,12/24,6,,,
Paulding,12/25,9,,,
Paulding,12/26,6,,,
Paulding,12/27,10,,,
Paulding,12/28,27,,,
Paulding,12/29,15,,,
Paulding,12/30,19,,,
Paulding,12/31,16,,,
Paulding,1/1,8,,,
Paulding,1/2,14,,,
Paulding,1/3,9,,,
Paulding,1/4,21,,,
Paulding,1/5,10,,,
Paulding,1/6,6,,,
Paulding,1/7,10,,,
Paulding,1/8,7,,,
Paulding,1/9,9,,,
Paulding,1/10,10,,,
Paulding,1/11,9,,,
Paulding,1/12,4,,,
Paulding,1/13,4,,,
Paulding,1/14,2,,,
Paulding,1/15,2,,,
Paulding,1/16,,,,
Paulding,1/17,,,,
Paulding,1/18,,,,
Portage,8/1,6,,,
Portage,8/2,7,,,
Portage,8/3,3,,,
Portage,8/4,4,,,
Portage,8/5,8,,,
Portage,8/6,7,,,
Portage,8/7,4,,,
Portage,8/8,2,,,
Portage,8/9,5,,,
Portage,8/10,4,,,
Portage,8/11,1,,,
Portage,8/12,1,,,
Portage,8/13,7,,,
Portage,8/14,5,,,
Portage,8/15,3,,,
Portage,8/16,2,,,
Portage,8/17,5,,,
Portage,8/18,5,,,
Portage,8/19,5,,,
Portage,8/20,5,,,
Portage,8/21,1,,,
Portage,8/22,8,,,
Portage,8/23,7,,,
Portage,8/24,8,,,
Portage,8/25,5,,,
Portage,8/26,10,,,
Portage,8/27,9,,,
Portage,8/28,5,,,
Portage,8/29,9,,,
Portage,8/30,10,,,
Portage,8/31,10,,,
Portage,9/1,13,,,
Portage,9/2,13,,,
Portage,9/3,10,,,
Portage,9/4,16,,,
Portage,9/5,7,,,
Portage,9/6,4,,,
Portage,9/7,9,,,
Portage,9/8,15,,,
Portage,9/9,9,,,
Portage,9/10,7,,,
Portage,9/11,12,,,
Portage,9/12,12,,,
Portage,9/13,12,,,
Portage,9/14,12,,,
Portage,9/15,17,,,
Portage,9/16,11,,,
Portage,9/17,9,,,
Portage,9/18,11,,,
Portage,9/19,10,,,
Portage,9/20,9,,,
Portage,9/21,15,,,
Portage,9/22,13,,,
Portage,9/23,11,,,
Portage,9/24,8,,,
Portage,9/25,16,,,
Portage,9/26,5,,,
Portage,9/27,12,,,
Portage,9/28,24,,,
Portage,9/29,17,,,
Portage,9/30,21,,,
Portage,10/1,18,,,
Portage,10/2,20,,,
Portage,10/3,11,,,
Portage,10/4,10,,,
Portage,10/5,26,,,
Portage,10/6,33,,,
Portage,10/7,19,,,
Portage,10/8,25,,,
Portage,10/9,18,,,
Portage,10/10,11,,,
Portage,10/11,20,,,
Portage,10/12,22,,,
Portage,10/13,25,,,
Portage,10/14,18,,,
Portage,10/15,16,,,
Portage,10/16,25,,,
Portage,10/17,19,,,
Portage,10/18,31,,,
Portage,10/19,28,,,
Portage,10/20,25,,,
Portage,10/21,38,,,
Portage,10/22,34,,,
Portage,10/23,31,,,
Portage,10/24,26,,,
Portage,10/25,32,,,
Portage,10/26,38,,,
Portage,10/27,46,,,
Portage,10/28,43,,,
Portage,10/29,36,,,
Portage,10/30,26,,,
Portage,10/31,29,,,
Portage,11/1,35,,,
Portage,11/2,48,,,
Portage,11/3,56,,,
Portage,11/4,47,,,
Portage,11/5,57,,,
Portage,11/6,63,,,
Portage,11/7,55,,,
Portage,11/8,50,,,
Portage,11/9,90,,,
Portage,11/10,105,,,
Portage,11/11,84,,,
Portage,11/12,96,,,
Portage,11/13,91,,,
Portage,11/14,66,,,
Portage,11/15,68,,,
Portage,11/16,92,,,
Portage,11/17,98,,,
Portage,11/18,100,,,
Portage,11/19,109,,,
Portage,11/20,116,,,
Portage,11/21,54,,,
Portage,11/22,50,,,
Portage,11/23,124,,,
Portage,11/24,139,,,
Portage,11/25,140,,,
Portage,11/26,65,,,
Portage,11/27,110,,,
Portage,11/28,77,,,
Portage,11/29,84,,,
Portage,11/30,134,,,
Portage,12/1,160,,,
Portage,12/2,120,,,
Portage,12/3,183,,,
Portage,12/4,122,,,
Portage,12/5,97,,,
Portage,12/6,96,,,
Portage,12/7,135,,,
Portage,12/8,159,,,
Portage,12/9,149,,,
Portage,12/10,114,,,
Portage,12/11,105,,,
Portage,12/12,71,,,
Portage,12/13,62,,,
Portage,12/14,143,,,
Portage,12/15,105,,,
Portage,12/16,71,,,
Portage,12/17,87,,,
Portage,12/18,85,,,
Portage,12/19,49,,,
Portage,12/20,51,,,
Portage,12/21,91,,,
Portage,12/22,80,,,
Portage,12/23,84,,,
Portage,12/24,58,,,
Portage,12/25,18,,,
Portage,12/26,78,,,
Portage,12/27,78,,,
Portage,12/28,127,,,
Portage,12/29,85,,,
Portage,12/30,119,,,
Portage,12/31,86,,,
Portage,1/1,35,,,
Portage,1/2,83,,,
Portage,1/3,90,,,
Portage,1/4,129,,,
Portage,1/5,123,,,
Portage,1/6,106,,,
Portage,1/7,96,,,
Portage,1/8,88,,,
Portage,1/9,59,,,
Portage,1/10,67,,,
Portage,1/11,95,,,
Portage,1/12,84,,,
Portage,1/13,58,,,
Portage,1/14,45,,,
Portage,1/15,51,,,
Portage,1/16,14,,,
Portage,1/17,16,,,
Portage,1/18,,,,
Preble,8/1,4,,,
Preble,8/2,3,,,
Preble,8/3,4,,,
Preble,8/4,3,,,
Preble,8/5,4,,,
Preble,8/6,19,,,
Preble,8/7,5,,,
Preble,8/8,9,,,
Preble,8/9,8,,,
Preble,8/10,11,,,
Preble,8/11,12,,,
Preble,8/12,4,,,
Preble,8/13,24,,,
Preble,8/14,3,,,
Preble,8/15,4,,,
Preble,8/16,2,,,
Preble,8/17,4,,,
Preble,8/18,6,,,
Preble,8/19,6,,,
Preble,8/20,9,,,
Preble,8/21,4,,,
Preble,8/22,4,,,
Preble,8/23,2,,,
Preble,8/24,6,,,
Preble,8/25,6,,,
Preble,8/26,8,,,
Preble,8/27,5,,,
Preble,8/28,6,,,
Preble,8/29,4,,,
Preble,8/30,1,,,
Preble,8/31,2,,,
Preble,9/1,5,,,
Preble,9/2,3,,,
Preble,9/3,6,,,
Preble,9/4,5,,,
Preble,9/5,4,,,
Preble,9/6,2,,,
Preble,9/7,3,,,
Preble,9/8,2,,,
Preble,9/9,4,,,
Preble,9/10,3,,,
Preble,9/11,4,,,
Preble,9/12,1,,,
Preble,9/13,4,,,
Preble,9/14,1,,,
Preble,9/15,4,,,
Preble,9/16,4,,,
Preble,9/17,3,,,
Preble,9/18,3,,,
Preble,9/19,4,,,
Preble,9/20,2,,,
Preble,9/21,3,,,
Preble,9/22,4,,,
Preble,9/23,2,,,
Preble,9/24,8,,,
Preble,9/25,6,,,
Preble,9/26,2,,,
Preble,9/27,3,,,
Preble,9/28,4,,,
Preble,9/29,4,,,
Preble,9/30,4,,,
Preble,10/1,5,,,
Preble,10/2,,,,
Preble,10/3,7,,,
Preble,10/4,6,,,
Preble,10/5,9,,,
Preble,10/6,9,,,
Preble,10/7,11,,,
Preble,10/8,5,,,
Preble,10/9,10,,,
Preble,10/10,8,,,
Preble,10/11,10,,,
Preble,10/12,13,,,
Preble,10/13,4,,,
Preble,10/14,18,,,
Preble,10/15,8,,,
Preble,10/16,9,,,
Preble,10/17,12,,,
Preble,10/18,14,,,
Preble,10/19,15,,,
Preble,10/20,15,,,
Preble,10/21,24,,,
Preble,10/22,17,,,
Preble,10/23,14,,,
Preble,10/24,13,,,
Preble,10/25,12,,,
Preble,10/26,33,,,
Preble,10/27,28,,,
Preble,10/28,22,,,
Preble,10/29,17,,,
Preble,10/30,23,,,
Preble,10/31,10,,,
Preble,11/1,15,,,
Preble,11/2,39,,,
Preble,11/3,32,,,
Preble,11/4,39,,,
Preble,11/5,26,,,
Preble,11/6,36,,,
Preble,11/7,23,,,
Preble,11/8,26,,,
Preble,11/9,51,,,
Preble,11/10,48,,,
Preble,11/11,53,,,
Preble,11/12,57,,,
Preble,11/13,49,,,
Preble,11/14,22,,,
Preble,11/15,18,,,
Preble,11/16,84,,,
Preble,11/17,45,,,
Preble,11/18,25,,,
Preble,11/19,39,,,
Preble,11/20,28,,,
Preble,11/21,24,,,
Preble,11/22,23,,,
Preble,11/23,42,,,
Preble,11/24,38,,,
Preble,11/25,48,,,
Preble,11/26,4,,,
Preble,11/27,33,,,
Preble,11/28,23,,,
Preble,11/29,20,,,
Preble,11/30,58,,,
Preble,12/1,45,,,
Preble,12/2,34,,,
Preble,12/3,40,,,
Preble,12/4,27,,,
Preble,12/5,19,,,
Preble,12/6,23,,,
Preble,12/7,63,,,
Preble,12/8,30,,,
Preble,12/9,24,,,
Preble,12/10,36,,,
Preble,12/11,25,,,
Preble,12/12,12,,,
Preble,12/13,22,,,
Preble,12/14,38,,,
Preble,12/15,43,,,
Preble,12/16,33,,,
Preble,12/17,27,,,
Preble,12/18,26,,,
Preble,12/19,11,,,
Preble,12/20,16,,,
Preble,12/21,36,,,
Preble,12/22,35,,,
Preble,12/23,25,,,
Preble,12/24,14,,,
Preble,12/25,3,,,
Preble,12/26,13,,,
Preble,12/27,6,,,
Preble,12/28,58,,,
Preble,12/29,28,,,
Preble,12/30,21,,,
Preble,12/31,18,,,
Preble,1/1,16,,,
Preble,1/2,17,,,
Preble,1/3,20,,,
Preble,1/4,47,,,
Preble,1/5,28,,,
Preble,1/6,25,,,
Preble,1/7,21,,,
Preble,1/8,28,,,
Preble,1/9,13,,,
Preble,1/10,9,,,
Preble,1/11,23,,,
Preble,1/12,20,,,
Preble,1/13,14,,,
Preble,1/14,13,,,
Preble,1/15,10,,,
Preble,1/16,7,,,
Preble,1/17,1,,,
Preble,1/18,,,,
Putnam,8/1,,,,
Putnam,8/2,2,,,
Putnam,8/3,3,,,
Putnam,8/4,3,,,
Putnam,8/5,3,,,
Putnam,8/6,3,,,
Putnam,8/7,4,,,
Putnam,8/8,5,,,
Putnam,8/9,,,,
Putnam,8/10,4,,,
Putnam,8/11,7,,,
Putnam,8/12,6,,,
Putnam,8/13,2,,,
Putnam,8/14,8,,,
Putnam,8/15,7,,,
Putnam,8/16,4,,,
Putnam,8/17,8,,,
Putnam,8/18,6,,,
Putnam,8/19,5,,,
Putnam,8/20,10,,,
Putnam,8/21,10,,,
Putnam,8/22,6,,,
Putnam,8/23,9,,,
Putnam,8/24,13,,,
Putnam,8/25,17,,,
Putnam,8/26,10,,,
Putnam,8/27,8,,,
Putnam,8/28,14,,,
Putnam,8/29,10,,,
Putnam,8/30,9,,,
Putnam,8/31,13,,,
Putnam,9/1,16,,,
Putnam,9/2,13,,,
Putnam,9/3,11,,,
Putnam,9/4,12,,,
Putnam,9/5,9,,,
Putnam,9/6,4,,,
Putnam,9/7,9,,,
Putnam,9/8,13,,,
Putnam,9/9,6,,,
Putnam,9/10,11,,,
Putnam,9/11,4,,,
Putnam,9/12,8,,,
Putnam,9/13,6,,,
Putnam,9/14,7,,,
Putnam,9/15,16,,,
Putnam,9/16,4,,,
Putnam,9/17,7,,,
Putnam,9/18,10,,,
Putnam,9/19,7,,,
Putnam,9/20,8,,,
Putnam,9/21,10,,,
Putnam,9/22,16,,,
Putnam,9/23,12,,,
Putnam,9/24,14,,,
Putnam,9/25,8,,,
Putnam,9/26,1,,,
Putnam,9/27,10,,,
Putnam,9/28,10,,,
Putnam,9/29,6,,,
Putnam,9/30,13,,,
Putnam,10/1,5,,,
Putnam,10/2,13,,,
Putnam,10/3,7,,,
Putnam,10/4,17,,,
Putnam,10/5,11,,,
Putnam,10/6,13,,,
Putnam,10/7,18,,,
Putnam,10/8,17,,,
Putnam,10/9,23,,,
Putnam,10/10,12,,,
Putnam,10/11,14,,,
Putnam,10/12,26,,,
Putnam,10/13,20,,,
Putnam,10/14,22,,,
Putnam,10/15,29,,,
Putnam,10/16,32,,,
Putnam,10/17,18,,,
Putnam,10/18,28,,,
Putnam,10/19,48,,,
Putnam,10/20,51,,,
Putnam,10/21,59,,,
Putnam,10/22,55,,,
Putnam,10/23,42,,,
Putnam,10/24,23,,,
Putnam,10/25,33,,,
Putnam,10/26,60,,,
Putnam,10/27,35,,,
Putnam,10/28,48,,,
Putnam,10/29,37,,,
Putnam,10/30,38,,,
Putnam,10/31,28,,,
Putnam,11/1,43,,,
Putnam,11/2,48,,,
Putnam,11/3,47,,,
Putnam,11/4,57,,,
Putnam,11/5,54,,,
Putnam,11/6,38,,,
Putnam,11/7,39,,,
Putnam,11/8,32,,,
Putnam,11/9,61,,,
Putnam,11/10,48,,,
Putnam,11/11,29,,,
Putnam,11/12,45,,,
Putnam,11/13,37,,,
Putnam,11/14,24,,,
Putnam,11/15,33,,,
Putnam,11/16,44,,,
Putnam,11/17,22,,,
Putnam,11/18,28,,,
Putnam,11/19,22,,,
Putnam,11/20,28,,,
Putnam,11/21,17,,,
Putnam,11/22,19,,,
Putnam,11/23,21,,,
Putnam,11/24,24,,,
Putnam,11/25,38,,,
Putnam,11/26,14,,,
Putnam,11/27,24,,,
Putnam,11/28,18,,,
Putnam,11/29,24,,,
Putnam,11/30,42,,,
Putnam,12/1,28,,,
Putnam,12/2,32,,,
Putnam,12/3,38,,,
Putnam,12/4,31,,,
Putnam,12/5,24,,,
Putnam,12/6,48,,,
Putnam,12/7,37,,,
Putnam,12/8,29,,,
Putnam,12/9,29,,,
Putnam,12/10,20,,,
Putnam,12/11,31,,,
Putnam,12/12,16,,,
Putnam,12/13,24,,,
Putnam,12/14,45,,,
Putnam,12/15,24,,,
Putnam,12/16,19,,,
Putnam,12/17,10,,,
Putnam,12/18,23,,,
Putnam,12/19,18,,,
Putnam,12/20,15,,,
Putnam,12/21,17,,,
Putnam,12/22,13,,,
Putnam,12/23,22,,,
Putnam,12/24,19,,,
Putnam,12/25,17,,,
Putnam,12/26,16,,,
Putnam,12/27,19,,,
Putnam,12/28,32,,,
Putnam,12/29,31,,,
Putnam,12/30,27,,,
Putnam,12/31,15,,,
Putnam,1/1,21,,,
Putnam,1/2,19,,,
Putnam,1/3,18,,,
Putnam,1/4,36,,,
Putnam,1/5,24,,,
Putnam,1/6,25,,,
Putnam,1/7,24,,,
Putnam,1/8,22,,,
Putnam,1/9,11,,,
Putnam,1/10,15,,,
Putnam,1/11,19,,,
Putnam,1/12,13,,,
Putnam,1/13,6,,,
Putnam,1/14,7,,,
Putnam,1/15,14,,,
Putnam,1/16,2,,,
Putnam,1/17,,,,
Putnam,1/18,,,,
Richland,8/1,3,,,
Richland,8/2,5,,,
Richland,8/3,23,,,
Richland,8/4,8,,,
Richland,8/5,10,,,
Richland,8/6,7,,,
Richland,8/7,6,,,
Richland,8/8,6,,,
Richland,8/9,1,,,
Richland,8/10,8,,,
Richland,8/11,7,,,
Richland,8/12,4,,,
Richland,8/13,7,,,
Richland,8/14,2,,,
Richland,8/15,1,,,
Richland,8/16,1,,,
Richland,8/17,7,,,
Richland,8/18,3,,,
Richland,8/19,3,,,
Richland,8/20,3,,,
Richland,8/21,4,,,
Richland,8/22,3,,,
Richland,8/23,2,,,
Richland,8/24,3,,,
Richland,8/25,3,,,
Richland,8/26,3,,,
Richland,8/27,4,,,
Richland,8/28,3,,,
Richland,8/29,3,,,
Richland,8/30,1,,,
Richland,8/31,4,,,
Richland,9/1,3,,,
Richland,9/2,3,,,
Richland,9/3,1,,,
Richland,9/4,6,,,
Richland,9/5,5,,,
Richland,9/6,3,,,
Richland,9/7,4,,,
Richland,9/8,6,,,
Richland,9/9,3,,,
Richland,9/10,4,,,
Richland,9/11,7,,,
Richland,9/12,8,,,
Richland,9/13,4,,,
Richland,9/14,4,,,
Richland,9/15,12,,,
Richland,9/16,15,,,
Richland,9/17,12,,,
Richland,9/18,16,,,
Richland,9/19,11,,,
Richland,9/20,9,,,
Richland,9/21,21,,,
Richland,9/22,22,,,
Richland,9/23,21,,,
Richland,9/24,21,,,
Richland,9/25,16,,,
Richland,9/26,15,,,
Richland,9/27,17,,,
Richland,9/28,22,,,
Richland,9/29,23,,,
Richland,9/30,16,,,
Richland,10/1,10,,,
Richland,10/2,34,,,
Richland,10/3,11,,,
Richland,10/4,9,,,
Richland,10/5,16,,,
Richland,10/6,17,,,
Richland,10/7,16,,,
Richland,10/8,15,,,
Richland,10/9,21,,,
Richland,10/10,9,,,
Richland,10/11,14,,,
Richland,10/12,16,,,
Richland,10/13,25,,,
Richland,10/14,21,,,
Richland,10/15,12,,,
Richland,10/16,21,,,
Richland,10/17,15,,,
Richland,10/18,18,,,
Richland,10/19,31,,,
Richland,10/20,28,,,
Richland,10/21,37,,,
Richland,10/22,37,,,
Richland,10/23,35,,,
Richland,10/24,32,,,
Richland,10/25,30,,,
Richland,10/26,38,,,
Richland,10/27,50,,,
Richland,10/28,35,,,
Richland,10/29,21,,,
Richland,10/30,46,,,
Richland,10/31,43,,,
Richland,11/1,45,,,
Richland,11/2,50,,,
Richland,11/3,44,,,
Richland,11/4,63,,,
Richland,11/5,51,,,
Richland,11/6,67,,,
Richland,11/7,69,,,
Richland,11/8,64,,,
Richland,11/9,100,,,
Richland,11/10,87,,,
Richland,11/11,91,,,
Richland,11/12,64,,,
Richland,11/13,58,,,
Richland,11/14,52,,,
Richland,11/15,65,,,
Richland,11/16,82,,,
Richland,11/17,119,,,
Richland,11/18,120,,,
Richland,11/19,123,,,
Richland,11/20,123,,,
Richland,11/21,70,,,
Richland,11/22,91,,,
Richland,11/23,167,,,
Richland,11/24,171,,,
Richland,11/25,106,,,
Richland,11/26,48,,,
Richland,11/27,123,,,
Richland,11/28,89,,,
Richland,11/29,103,,,
Richland,11/30,196,,,
Richland,12/1,192,,,
Richland,12/2,126,,,
Richland,12/3,129,,,
Richland,12/4,115,,,
Richland,12/5,76,,,
Richland,12/6,110,,,
Richland,12/7,164,,,
Richland,12/8,157,,,
Richland,12/9,113,,,
Richland,12/10,112,,,
Richland,12/11,104,,,
Richland,12/12,55,,,
Richland,12/13,84,,,
Richland,12/14,207,,,
Richland,12/15,125,,,
Richland,12/16,94,,,
Richland,12/17,110,,,
Richland,12/18,71,,,
Richland,12/19,66,,,
Richland,12/20,83,,,
Richland,12/21,166,,,
Richland,12/22,99,,,
Richland,12/23,89,,,
Richland,12/24,53,,,
Richland,12/25,16,,,
Richland,12/26,67,,,
Richland,12/27,77,,,
Richland,12/28,160,,,
Richland,12/29,80,,,
Richland,12/30,93,,,
Richland,12/31,75,,,
Richland,1/1,51,,,
Richland,1/2,59,,,
Richland,1/3,71,,,
Richland,1/4,127,,,
Richland,1/5,92,,,
Richland,1/6,78,,,
Richland,1/7,74,,,
Richland,1/8,53,,,
Richland,1/9,32,,,
Richland,1/10,45,,,
Richland,1/11,78,,,
Richland,1/12,66,,,
Richland,1/13,53,,,
Richland,1/14,80,,,
Richland,1/15,50,,,
Richland,1/16,22,,,
Richland,1/17,27,,,
Richland,1/18,,,,
Ross,8/1,7,,,
Ross,8/2,12,,,
Ross,8/3,13,,,
Ross,8/4,19,,,
Ross,8/5,4,,,
Ross,8/6,13,,,
Ross,8/7,14,,,
Ross,8/8,6,,,
Ross,8/9,10,,,
Ross,8/10,14,,,
Ross,8/11,16,,,
Ross,8/12,9,,,
Ross,8/13,10,,,
Ross,8/14,11,,,
Ross,8/15,12,,,
Ross,8/16,10,,,
Ross,8/17,15,,,
Ross,8/18,10,,,
Ross,8/19,7,,,
Ross,8/20,10,,,
Ross,8/21,8,,,
Ross,8/22,8,,,
Ross,8/23,5,,,
Ross,8/24,10,,,
Ross,8/25,41,,,
Ross,8/26,6,,,
Ross,8/27,4,,,
Ross,8/28,15,,,
Ross,8/29,8,,,
Ross,8/30,4,,,
Ross,8/31,13,,,
Ross,9/1,7,,,
Ross,9/2,12,,,
Ross,9/3,7,,,
Ross,9/4,6,,,
Ross,9/5,9,,,
Ross,9/6,4,,,
Ross,9/7,2,,,
Ross,9/8,5,,,
Ross,9/9,5,,,
Ross,9/10,5,,,
Ross,9/11,5,,,
Ross,9/12,3,,,
Ross,9/13,3,,,
Ross,9/14,6,,,
Ross,9/15,3,,,
Ross,9/16,8,,,
Ross,9/17,4,,,
Ross,9/18,6,,,
Ross,9/19,2,,,
Ross,9/20,5,,,
Ross,9/21,8,,,
Ross,9/22,8,,,
Ross,9/23,3,,,
Ross,9/24,7,,,
Ross,9/25,14,,,
Ross,9/26,10,,,
Ross,9/27,12,,,
Ross,9/28,17,,,
Ross,9/29,13,,,
Ross,9/30,26,,,
Ross,10/1,15,,,
Ross,10/2,14,,,
Ross,10/3,21,,,
Ross,10/4,16,,,
Ross,10/5,22,,,
Ross,10/6,15,,,
Ross,10/7,26,,,
Ross,10/8,23,,,
Ross,10/9,34,,,
Ross,10/10,19,,,
Ross,10/11,18,,,
Ross,10/12,36,,,
Ross,10/13,33,,,
Ross,10/14,15,,,
Ross,10/15,16,,,
Ross,10/16,20,,,
Ross,10/17,10,,,
Ross,10/18,20,,,
Ross,10/19,26,,,
Ross,10/20,35,,,
Ross,10/21,39,,,
Ross,10/22,33,,,
Ross,10/23,24,,,
Ross,10/24,26,,,
Ross,10/25,19,,,
Ross,10/26,34,,,
Ross,10/27,26,,,
Ross,10/28,34,,,
Ross,10/29,17,,,
Ross,10/30,23,,,
Ross,10/31,25,,,
Ross,11/1,17,,,
Ross,11/2,42,,,
Ross,11/3,40,,,
Ross,11/4,36,,,
Ross,11/5,30,,,
Ross,11/6,35,,,
Ross,11/7,28,,,
Ross,11/8,24,,,
Ross,11/9,56,,,
Ross,11/10,40,,,
Ross,11/11,31,,,
Ross,11/12,27,,,
Ross,11/13,43,,,
Ross,11/14,28,,,
Ross,11/15,29,,,
Ross,11/16,64,,,
Ross,11/17,38,,,
Ross,11/18,49,,,
Ross,11/19,34,,,
Ross,11/20,38,,,
Ross,11/21,35,,,
Ross,11/22,27,,,
Ross,11/23,59,,,
Ross,11/24,40,,,
Ross,11/25,51,,,
Ross,11/26,24,,,
Ross,11/27,36,,,
Ross,11/28,47,,,
Ross,11/29,58,,,
Ross,11/30,65,,,
Ross,12/1,42,,,
Ross,12/2,57,,,
Ross,12/3,66,,,
Ross,12/4,75,,,
Ross,12/5,51,,,
Ross,12/6,49,,,
Ross,12/7,80,,,
Ross,12/8,63,,,
Ross,12/9,50,,,
Ross,12/10,52,,,
Ross,12/11,62,,,
Ross,12/12,32,,,
Ross,12/13,49,,,
Ross,12/14,79,,,
Ross,12/15,76,,,
Ross,12/16,69,,,
Ross,12/17,62,,,
Ross,12/18,59,,,
Ross,12/19,32,,,
Ross,12/20,33,,,
Ross,12/21,56,,,
Ross,12/22,44,,,
Ross,12/23,60,,,
Ross,12/24,36,,,
Ross,12/25,14,,,
Ross,12/26,42,,,
Ross,12/27,45,,,
Ross,12/28,71,,,
Ross,12/29,71,,,
Ross,12/30,77,,,
Ross,12/31,33,,,
Ross,1/1,23,,,
Ross,1/2,50,,,
Ross,1/3,47,,,
Ross,1/4,89,,,
Ross,1/5,58,,,
Ross,1/6,51,,,
Ross,1/7,46,,,
Ross,1/8,44,,,
Ross,1/9,37,,,
Ross,1/10,23,,,
Ross,1/11,48,,,
Ross,1/12,36,,,
Ross,1/13,35,,,
Ross,1/14,25,,,
Ross,1/15,24,,,
Ross,1/16,10,,,
Ross,1/17,5,,,
Ross,1/18,1,,,
Scioto,8/1,6,,,
Scioto,8/2,8,,,
Scioto,8/3,,,,
Scioto,8/4,7,,,
Scioto,8/5,7,,,
Scioto,8/6,6,,,
Scioto,8/7,7,,,
Scioto,8/8,6,,,
Scioto,8/9,5,,,
Scioto,8/10,16,,,
Scioto,8/11,4,,,
Scioto,8/12,1,,,
Scioto,8/13,1,,,
Scioto,8/14,3,,,
Scioto,8/15,2,,,
Scioto,8/16,4,,,
Scioto,8/17,6,,,
Scioto,8/18,8,,,
Scioto,8/19,15,,,
Scioto,8/20,5,,,
Scioto,8/21,3,,,
Scioto,8/22,1,,,
Scioto,8/23,3,,,
Scioto,8/24,4,,,
Scioto,8/25,6,,,
Scioto,8/26,11,,,
Scioto,8/27,10,,,
Scioto,8/28,5,,,
Scioto,8/29,9,,,
Scioto,8/30,3,,,
Scioto,8/31,3,,,
Scioto,9/1,14,,,
Scioto,9/2,4,,,
Scioto,9/3,4,,,
Scioto,9/4,1,,,
Scioto,9/5,1,,,
Scioto,9/6,6,,,
Scioto,9/7,7,,,
Scioto,9/8,5,,,
Scioto,9/9,7,,,
Scioto,9/10,8,,,
Scioto,9/11,8,,,
Scioto,9/12,2,,,
Scioto,9/13,6,,,
Scioto,9/14,3,,,
Scioto,9/15,5,,,
Scioto,9/16,5,,,
Scioto,9/17,8,,,
Scioto,9/18,3,,,
Scioto,9/19,7,,,
Scioto,9/20,9,,,
Scioto,9/21,11,,,
Scioto,9/22,9,,,
Scioto,9/23,10,,,
Scioto,9/24,8,,,
Scioto,9/25,4,,,
Scioto,9/26,5,,,
Scioto,9/27,8,,,
Scioto,9/28,6,,,
Scioto,9/29,13,,,
Scioto,9/30,14,,,
Scioto,10/1,11,,,
Scioto,10/2,22,,,
Scioto,10/3,8,,,
Scioto,10/4,9,,,
Scioto,10/5,22,,,
Scioto,10/6,18,,,
Scioto,10/7,7,,,
Scioto,10/8,14,,,
Scioto,10/9,18,,,
Scioto,10/10,9,,,
Scioto,10/11,14,,,
Scioto,10/12,26,,,
Scioto,10/13,18,,,
Scioto,10/14,17,,,
Scioto,10/15,16,,,
Scioto,10/16,16,,,
Scioto,10/17,18,,,
Scioto,10/18,19,,,
Scioto,10/19,20,,,
Scioto,10/20,25,,,
Scioto,10/21,16,,,
Scioto,10/22,18,,,
Scioto,10/23,26,,,
Scioto,10/24,14,,,
Scioto,10/25,22,,,
Scioto,10/26,44,,,
Scioto,10/27,25,,,
Scioto,10/28,20,,,
Scioto,10/29,26,,,
Scioto,10/30,14,,,
Scioto,10/31,24,,,
Scioto,11/1,24,,,
Scioto,11/2,34,,,
Scioto,11/3,42,,,
Scioto,11/4,44,,,
Scioto,11/5,35,,,
Scioto,11/6,45,,,
Scioto,11/7,35,,,
Scioto,11/8,37,,,
Scioto,11/9,52,,,
Scioto,11/10,43,,,
Scioto,11/11,60,,,
Scioto,11/12,53,,,
Scioto,11/13,47,,,
Scioto,11/14,32,,,
Scioto,11/15,52,,,
Scioto,11/16,49,,,
Scioto,11/17,43,,,
Scioto,11/18,47,,,
Scioto,11/19,44,,,
Scioto,11/20,44,,,
Scioto,11/21,52,,,
Scioto,11/22,36,,,
Scioto,11/23,55,,,
Scioto,11/24,71,,,
Scioto,11/25,62,,,
Scioto,11/26,43,,,
Scioto,11/27,65,,,
Scioto,11/28,66,,,
Scioto,11/29,69,,,
Scioto,11/30,78,,,
Scioto,12/1,66,,,
Scioto,12/2,77,,,
Scioto,12/3,67,,,
Scioto,12/4,90,,,
Scioto,12/5,60,,,
Scioto,12/6,72,,,
Scioto,12/7,72,,,
Scioto,12/8,80,,,
Scioto,12/9,89,,,
Scioto,12/10,64,,,
Scioto,12/11,60,,,
Scioto,12/12,42,,,
Scioto,12/13,37,,,
Scioto,12/14,78,,,
Scioto,12/15,74,,,
Scioto,12/16,55,,,
Scioto,12/17,58,,,
Scioto,12/18,51,,,
Scioto,12/19,28,,,
Scioto,12/20,28,,,
Scioto,12/21,89,,,
Scioto,12/22,54,,,
Scioto,12/23,59,,,
Scioto,12/24,50,,,
Scioto,12/25,49,,,
Scioto,12/26,49,,,
Scioto,12/27,60,,,
Scioto,12/28,84,,,
Scioto,12/29,81,,,
Scioto,12/30,60,,,
Scioto,12/31,51,,,
Scioto,1/1,41,,,
Scioto,1/2,61,,,
Scioto,1/3,49,,,
Scioto,1/4,59,,,
Scioto,1/5,52,,,
Scioto,1/6,48,,,
Scioto,1/7,52,,,
Scioto,1/8,40,,,
Scioto,1/9,64,,,
Scioto,1/10,43,,,
Scioto,1/11,36,,,
Scioto,1/12,28,,,
